shop_name,place,ratio,holiday,url
しもきた茶苑大山,下北沢駅 133m / かき氷、カフェ・喫茶(日本茶専門店),3.71,火曜日、水曜日、不定休 ※公式サイトに営業日カレンダーあり,https://tabelog.com/tokyo/A1318/A131802/13025597/
トロ コーヒーアンドベーカリー,下北沢駅 500m (世田谷代田駅 171m) / パン、カフェ・喫茶(カフェ)、パスタ,3.70,"",https://tabelog.com/tokyo/A1318/A131812/13118819/
Rojiura Curry SAMURAI.  下北沢店,下北沢駅 353m / スープカレー、カレー（その他）、カフェ・喫茶(カフェ),3.67,なし,https://tabelog.com/tokyo/A1318/A131802/13165636/
白髭のシュークリーム工房,下北沢駅 499m (世田谷代田駅 172m) / 洋菓子（その他）、カフェ・喫茶(カフェ),3.67,火曜日(火曜日が祝日の場合は翌日),https://tabelog.com/tokyo/A1318/A131812/13161008/
トロワ・シャンブル,下北沢駅 249m / カフェ・喫茶(喫茶店)、カフェ・喫茶(カフェ),3.64,不定休,https://tabelog.com/tokyo/A1318/A131802/13013091/
ミクスチャー,下北沢駅 369m / パン、カフェ・喫茶(カフェ)、サンドイッチ,3.63,不定休,https://tabelog.com/tokyo/A1318/A131802/13024853/
ラ・パレット,下北沢駅 149m / カフェ・喫茶(カフェ・喫茶（その他）)、ケーキ,3.55,月曜日,https://tabelog.com/tokyo/A1318/A131802/13007301/
ネイバーフッド アンド コーヒー 代沢5丁目店,下北沢駅 487m / カフェ・喫茶(カフェ)、スイーツ（その他）、カフェ・喫茶(喫茶店),3.53,年中無休,https://tabelog.com/tokyo/A1318/A131802/13162576/
ヴォルール・ドゥ・フルール 下北沢南店,下北沢駅 133m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店),3.53,-,https://tabelog.com/tokyo/A1318/A131802/13013044/
エイトジュール,下北沢駅 297m / カフェ・喫茶(紅茶専門店)、カフェ・喫茶(カフェ),3.51,水・木曜日,https://tabelog.com/tokyo/A1318/A131802/13157413/
Mikazuki Curry SAMURAI. 下北沢店,下北沢駅 389m / カレーライス、カフェ・喫茶(カフェ)、アジア・エスニック料理（その他）,3.50,年末年始,https://tabelog.com/tokyo/A1318/A131802/13216581/
marusan&wacca,下北沢駅 189m / カフェ・喫茶(カフェ)、創作料理、ダイニングバー,3.48,"",https://tabelog.com/tokyo/A1318/A131802/13007434/
ビオ・オジヤン・カフェ 下北沢,下北沢駅 168m / カフェ・喫茶(カフェ)、和食（その他）、カフェ・喫茶(カフェ・喫茶（その他）),3.46,不定休,https://tabelog.com/tokyo/A1318/A131802/13009463/
シティー カントリー シティ,下北沢駅 109m / バー、カフェ・喫茶(カフェ)、パスタ,3.46,水曜日,https://tabelog.com/tokyo/A1318/A131802/13054105/
三瓶バーガー・トーキョー 下北沢店,下北沢駅 213m / ハンバーガー、カフェ・喫茶(カフェ)、ダイニングバー,3.45,"",https://tabelog.com/tokyo/A1318/A131802/13249967/
ベアポンド エスプレッソ,下北沢駅 278m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店),3.44,-,https://tabelog.com/tokyo/A1318/A131802/13093829/
オランジ,下北沢駅 131m / カフェ・喫茶(カフェ)、洋菓子（その他）、カフェ・喫茶(紅茶専門店),3.43,"",https://tabelog.com/tokyo/A1318/A131802/13015567/
サンデーブランチ 下北沢店,下北沢駅 168m / カフェ・喫茶(カフェ)、ケーキ、パンケーキ,3.43,不定休,https://tabelog.com/tokyo/A1318/A131802/13004596/
バルボア カフェ,下北沢駅 433m / イタリアン、カフェ・喫茶(カフェ),3.40,月曜日（祝日の場合は翌日）,https://tabelog.com/tokyo/A1318/A131802/13014327/
COFFEA EXLIBRIS,下北沢駅 446m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ),3.40,不定休,https://tabelog.com/tokyo/A1318/A131802/13096416/
